"commonname","speciesname"
"Deepsea Skate","Bathyraja abyssicola"
"Blacktip Shark","Carcharhinus limbatus"
"Dusky Shark","Carcharhinus obscurus"
"Sandbar Shark","Carcharhinus plumbeus"
"Sand Tiger Shark","Carcharias taurus"
"White Shark","Carcharodon carcharias"
"Basking Shark","Cetorhinus maximus"
"Kitefin Shark","Dalatias licha"
"Bluntnose Sixgill Shark","Hexanchus griseus"
"Porbeagle","Lamna nasus"
"Smalltooth Sawfish","Pristis pectinata"
"Whale Shark","Rhincodon typus"
"Broadnose Sevengill Shark","Notorynchus cepedianus"
"Common Sawshark","Pristiophorus cirratus"
"Pacific Angel Shark","Squatina californica"
"Argentine Angelshark","Squatina argentina"
"Hidden Angelshark","Squatina occulta"
"Angelshark","Squatina squatina"
"Horn Shark","Heterodontus francisci"
"Port Jackson Shark","Heterodontus portusjacksoni"
"Colclough's Shark","Brachaelurus colcloughi"
"Bigeye Sand Tiger","Odontaspis noronhai"
"Crocodile Shark","Pseudocarcharias kamoharai"
"Megamouth Shark","Megachasma pelagios"
"Common Thresher","Alopias vulpinus"
"Shortfin Mako","Isurus oxyrinchus"
"Salmon Shark","Lamna ditropis"
"Happy Eddie","Haploblepharus edwardsii"
"Brown Shyshark","Haploblepharus fuscus"
"Narrowmouth Catshark","Schroederichthys bivius"
"Pyjama Shark","Poroderma africanum"
"Yellowspotted Catshark","Scyliorhinus capensis"
"Barbeled Houndshark","Leptocharias smithii"
"Whiskery Shark","Furgaleus macki"
"Tope","Galeorhinus galeus"
"Whitefin Topeshark","Hemitriakis leucoperiptera"
"Pencil Shark","Hypogaleus hyugaensis"
"Gummy Shark","Mustelus antarcticus"
"Rig","Mustelus lenticulatus"
"Starry Smoothhound","Mustelus asterias"
"Common Smoothhound","Mustelus mustelus"
"Dusky Smoothhound","Mustelus canis"
"Flapnose Houndshark","Scylliogaleus quecketti"
"Sharpfin Houndshark","Triakis acutipinna"
"Spotted Gully Shark","Triakis megalopterus"
"Leopard Shark","Triakis semifasciata"
"Grey Reef Shark","Carcharhinus amblyrhynchos"
"Pigeye Shark","Carcharhinus amboinensis"
"Borneo Shark","Carcharhinus borneensis"
"Spinner Shark","Carcharhinus brevipinna"
